0.63023-0.45704i	0.63085-0.45237i	0.63148-0.44771i	0.6321-0.44304i	0.63273-0.43838i	0.63335-0.43371i	0.63383-0.42893i	0.63414-0.42404i	0.63446-0.41915i	0.63477-0.41425i	0.63508-0.40936i	0.6354-0.40446i	0.63544-0.39938i	0.63544-0.39427i
1.0463+0.2341i	1.0417+0.23461i	1.0372+0.23512i	1.0326+0.23564i	1.0281+0.23615i	1.0236+0.23666i	1.0188+0.23709i	1.0139+0.23744i	1.0089+0.23778i	1.004+0.23812i	0.99902+0.23847i	0.99408+0.23881i	0.98879+0.239i	0.98345+0.23917i
1.0762+0.22655i	1.0708+0.2273i	1.0654+0.22805i	1.0599+0.2288i	1.0545+0.22955i	1.0491+0.23031i	1.0434+0.23098i	1.0376+0.23155i	1.0317+0.23213i	1.0259+0.23271i	1.02+0.23329i	1.0141+0.23387i	1.0079+0.23429i	1.0017+0.23469i
1.1017+0.21864i	1.0954+0.21977i	1.0891+0.2209i	1.0828+0.22203i	1.0765+0.22315i	1.0702+0.22428i	1.0637+0.22532i	1.0569+0.22628i	1.0502+0.22723i	1.0434+0.22819i	1.0367+0.22914i	1.0299+0.2301i	1.0228+0.23089i	1.0156+0.23166i
1.1239+0.21175i	1.1168+0.21339i	1.1096+0.21503i	1.1025+0.21668i	1.0954+0.21832i	1.0883+0.21996i	1.0809+0.22152i	1.0733+0.22299i	1.0657+0.22446i	1.0581+0.22593i	1.0505+0.2274i	1.0429+0.22887i	1.0349+0.23018i	1.0268+0.23147i
1.1446+0.20644i	1.1367+0.20873i	1.1288+0.21102i	1.1209+0.21331i	1.113+0.2156i	1.1051+0.2179i	1.097+0.22011i	1.0886+0.22223i	1.0803+0.22435i	1.0719+0.22648i	1.0635+0.2286i	1.0551+0.23072i	1.0463+0.23269i	1.0375+0.23463i
1.1654+0.20235i	1.1568+0.20541i	1.1483+0.20847i	1.1398+0.21154i	1.1312+0.2146i	1.1227+0.21767i	1.1139+0.22065i	1.1049+0.22356i	1.0958+0.22646i	1.0868+0.22936i	1.0778+0.23226i	1.0687+0.23516i	1.0592+0.23791i	1.0497+0.24063i
1.1877+0.19829i	1.1786+0.20223i	1.1696+0.20617i	1.1605+0.21011i	1.1515+0.21405i	1.1424+0.21799i	1.1331+0.22185i	1.1235+0.22564i	1.114+0.22942i	1.1044+0.23321i	1.0948+0.23699i	1.0852+0.24077i	1.0752+0.2444i	1.0651+0.24801i
1.2119+0.19254i	1.2025+0.19743i	1.1931+0.20231i	1.1837+0.2072i	1.1743+0.21209i	1.1649+0.21698i	1.1552+0.2218i	1.1453+0.22654i	1.1353+0.23129i	1.1253+0.23603i	1.1154+0.24077i	1.1054+0.24551i	1.095+0.2501i	1.0845+0.25468i
1.2377+0.18325i	1.2281+0.18913i	1.2186+0.19501i	1.209+0.20088i	1.1994+0.20676i	1.1898+0.21264i	1.1799+0.21845i	1.1698+0.22419i	1.1596+0.22992i	1.1494+0.23566i	1.1393+0.2414i	1.1291+0.24714i	1.1185+0.25274i	1.1078+0.25832i
1.2638+0.16894i	1.2542+0.1758i	1.2446+0.18267i	1.235+0.18953i	1.2254+0.19639i	1.2158+0.20325i	1.2059+0.21006i	1.1957+0.21679i	1.1856+0.22353i	1.1754+0.23026i	1.1652+0.237i	1.155+0.24374i	1.1444+0.25034i	1.1336+0.25693i
