0.63023-0.45704i	0.63085-0.45237i	0.63148-0.44771i	0.6321-0.44304i	0.63273-0.43838i	0.63335-0.43371i	0.63383-0.42893i	0.63414-0.42404i	0.63446-0.41915i	0.63477-0.41425i	0.63508-0.40936i	0.6354-0.40446i	0.63544-0.39938i	0.63544-0.39427i
0.72273+0.23308i	0.71661+0.23008i	0.7105+0.22707i	0.70439+0.22407i	0.69828+0.22107i	0.69217+0.21806i	0.6859+0.21501i	0.67946+0.21191i	0.67302+0.20881i	0.66658+0.2057i	0.66014+0.2026i	0.6537+0.19949i	0.647+0.19631i	0.64025+0.19311i
0.73997+0.2626i	0.73272+0.25953i	0.72548+0.25645i	0.71823+0.25338i	0.71098+0.25031i	0.70373+0.24723i	0.69633+0.2441i	0.68875+0.24092i	0.68117+0.23773i	0.67359+0.23454i	0.66601+0.23135i	0.65844+0.22816i	0.65059+0.22487i	0.6427+0.22158i
0.76116+0.28293i	0.7528+0.27995i	0.74445+0.27697i	0.73609+0.27399i	0.72773+0.27101i	0.71937+0.26803i	0.71085+0.26499i	0.70215+0.26187i	0.69346+0.25876i	0.68476+0.25565i	0.67606+0.25254i	0.66737+0.24943i	0.6584+0.24622i	0.64939+0.24298i
0.78302+0.29377i	0.7736+0.29103i	0.76418+0.28829i	0.75476+0.28555i	0.74534+0.28281i	0.73591+0.28007i	0.72633+0.27727i	0.71656+0.27439i	0.70679+0.27151i	0.69703+0.26863i	0.68726+0.26575i	0.67749+0.26288i	0.66745+0.25988i	0.65737+0.25687i
0.80253+0.29597i	0.79212+0.29361i	0.7817+0.29125i	0.77129+0.28889i	0.76087+0.28653i	0.75046+0.28417i	0.73987+0.28174i	0.7291+0.27923i	0.71834+0.27673i	0.70757+0.27422i	0.6968+0.27171i	0.68603+0.26921i	0.67498+0.26658i	0.66389+0.26393i
0.81738+0.29131i	0.80606+0.28946i	0.79474+0.2876i	0.78341+0.28574i	0.77209+0.28388i	0.76077+0.28203i	0.74928+0.2801i	0.73759+0.27809i	0.72591+0.27608i	0.71423+0.27407i	0.70255+0.27206i	0.69086+0.27006i	0.6789+0.26792i	0.66689+0.26576i
0.82618+0.28212i	0.81405+0.28087i	0.80193+0.27962i	0.78981+0.27837i	0.77769+0.27713i	0.76556+0.27588i	0.75326+0.27456i	0.74077+0.27316i	0.72828+0.27176i	0.71579+0.27036i	0.7033+0.26896i	0.6908+0.26756i	0.67802+0.26602i	0.6652+0.26448i
0.82854+0.27074i	0.81573+0.27019i	0.80293+0.26965i	0.79012+0.2691i	0.77732+0.26855i	0.76451+0.268i	0.75153+0.26738i	0.73835+0.26668i	0.72517+0.26598i	0.71199+0.26528i	0.69881+0.26459i	0.68563+0.26389i	0.67216+0.26305i	0.65865+0.2622i
0.82488+0.25924i	0.81153+0.25946i	0.79817+0.25968i	0.78482+0.25991i	0.77147+0.26013i	0.75812+0.26035i	0.74458+0.2605i	0.73085+0.26058i	0.71712+0.26065i	0.70339+0.26072i	0.68966+0.26079i	0.67593+0.26087i	0.66191+0.26081i	0.64785+0.26073i
0.81614+0.24909i	0.80239+0.25013i	0.78863+0.25117i	0.77488+0.25221i	0.76112+0.25325i	0.74737+0.25429i	0.73343+0.25525i	0.7193+0.25615i	0.70517+0.25704i	0.69103+0.25793i	0.6769+0.25882i	0.66277+0.25971i	0.64835+0.26047i	0.63388+0.26121i
0.80342+0.24116i	0.78942+0.24304i	0.77542+0.24491i	0.76142+0.24678i	0.74741+0.24865i	0.73341+0.25053i	0.71923+0.25233i	0.70485+0.25406i	0.69047+0.25578i	0.67609+0.25751i	0.66171+0.25924i	0.64733+0.26096i	0.63266+0.26255i	0.61795+0.26413i
0.78769+0.23582i	0.7736+0.23851i	0.7595+0.2412i	0.74541+0.24389i	0.73131+0.24658i	0.71721+0.24928i	0.70294+0.2519i	0.68847+0.25445i	0.674+0.25699i	0.65953+0.25954i	0.64506+0.26209i	0.63059+0.26464i	0.61584+0.26705i	0.60104+0.26944i
0.76961+0.23315i	0.75556+0.23661i	0.74152+0.24008i	0.72748+0.24355i	0.71344+0.24701i	0.6994+0.25048i	0.68518+0.25387i	0.67077+0.25719i	0.65636+0.26051i	0.64194+0.26383i	0.62753+0.26715i	0.61312+0.27047i	0.59843+0.27366i	0.5837+0.27682i
0.74951+0.23328i	0.73565+0.23744i	0.7218+0.24161i	0.70794+0.24577i	0.69409+0.24993i	0.68023+0.25409i	0.6662+0.25818i	0.65198+0.2622i	0.63776+0.26621i	0.62354+0.27023i	0.60932+0.27424i	0.5951+0.27825i	0.58061+0.28213i	0.56607+0.28598i
0.7276+0.23656i	0.71404+0.24132i	0.70047+0.24607i	0.68691+0.25083i	0.67335+0.25558i	0.65978+0.26034i	0.64605+0.26502i	0.63213+0.26962i	0.61821+0.27423i	0.60429+0.27883i	0.59036+0.28344i	0.57644+0.28804i	0.56225+0.2925i	0.54802+0.29694i
0.70417+0.24364i	0.69097+0.24887i	0.67778+0.2541i	0.66458+0.25933i	0.65139+0.26455i	0.63819+0.26978i	0.62483+0.27494i	0.61129+0.28001i	0.59774+0.28508i	0.58419+0.29015i	0.57065+0.29522i	0.5571+0.3003i	0.54329+0.30521i	0.52944+0.31011i
0.67986+0.25539i	0.66708+0.26096i	0.65429+0.26654i	0.64151+0.27211i	0.62873+0.27768i	0.61595+0.28326i	0.603+0.28875i	0.58987+0.29416i	0.57674+0.29957i	0.56361+0.30498i	0.55048+0.31039i	0.53735+0.3158i	0.52396+0.32105i	0.51053+0.32628i
0.65587+0.27266i	0.64351+0.27845i	0.63115+0.28425i	0.61878+0.29004i	0.60642+0.29583i	0.59406+0.30163i	0.58153+0.30734i	0.56883+0.31296i	0.55612+0.31858i	0.54342+0.3242i	0.53072+0.32982i	0.51801+0.33544i	0.50504+0.34089i	0.49204+0.34632i
0.63396+0.29595i	0.622+0.30185i	0.61004+0.30775i	0.59807+0.31365i	0.58611+0.31955i	0.57415+0.32545i	0.56202+0.33126i	0.54972+0.33698i	0.53741+0.34269i	0.52511+0.34841i	0.51281+0.35413i	0.50051+0.35984i	0.48794+0.36538i	0.47534+0.37089i
0.6163+0.32509i	0.60469+0.331i	0.59308+0.33691i	0.58147+0.34282i	0.56986+0.34873i	0.55825+0.35464i	0.54648+0.36046i	0.53453+0.36617i	0.52259+0.37189i	0.51064+0.37761i	0.49869+0.38333i	0.48674+0.38905i	0.47453+0.39457i	0.46229+0.40008i
0.60512+0.35899i	0.5938+0.36484i	0.58249+0.37069i	0.57118+0.37654i	0.55986+0.38239i	0.54855+0.38824i	0.53707+0.39399i	0.52541+0.39964i	0.51376+0.40528i	0.5021+0.41093i	0.49045+0.41657i	0.47879+0.42222i	0.46687+0.42767i	0.45492+0.43309i
0.60232+0.39563i	0.59123+0.40137i	0.58014+0.40712i	0.56906+0.41286i	0.55797+0.4186i	0.54688+0.42434i	0.53563+0.42998i	0.5242+0.43551i	0.51277+0.44103i	0.50133+0.44656i	0.4899+0.45209i	0.47847+0.45761i	0.46677+0.46293i	0.45503+0.46822i
0.60901+0.43222i	0.59808+0.43783i	0.58715+0.44344i	0.57623+0.44904i	0.5653+0.45465i	0.55438+0.46026i	0.54328+0.46576i	0.532+0.47114i	0.52072+0.47652i	0.50944+0.4819i	0.49817+0.48728i	0.48689+0.49266i	0.47533+0.49783i	0.46374+0.50296i
0.6252+0.46554i	0.61437+0.471i	0.60354+0.47647i	0.59271+0.48193i	0.58189+0.4874i	0.57106+0.49286i	0.56006+0.49821i	0.54887+0.50344i	0.53768+0.50867i	0.52649+0.5139i	0.5153+0.51913i	0.50411+0.52436i	0.49263+0.52936i	0.48112+0.53433i
0.64967+0.49245i	0.63889+0.49778i	0.6281+0.5031i	0.61731+0.50843i	0.60653+0.51375i	0.59574+0.51908i	0.58478+0.52429i	0.57362+0.52937i	0.56246+0.53446i	0.5513+0.53954i	0.54014+0.54463i	0.52898+0.54971i	0.51753+0.55457i	0.50603+0.55939i
0.68006+0.5104i	0.66927+0.51561i	0.65848+0.52081i	0.64769+0.52601i	0.6369+0.53121i	0.62611+0.53642i	0.61513+0.5415i	0.60396+0.54646i	0.59278+0.55142i	0.5816+0.55638i	0.57043+0.56134i	0.55925+0.5663i	0.54776+0.57102i	0.53624+0.57572i
0.71319+0.51787i	0.70235+0.52297i	0.69152+0.52808i	0.68068+0.53318i	0.66985+0.53828i	0.65902+0.54339i	0.64799+0.54837i	0.63675+0.55323i	0.62551+0.55809i	0.61428+0.56295i	0.60304+0.56781i	0.59181+0.57267i	0.58025+0.5773i	0.56865+0.58189i
0.74554+0.5146i	0.73463+0.51963i	0.72371+0.52466i	0.7128+0.5297i	0.70189+0.53473i	0.69097+0.53977i	0.67986+0.54469i	0.66853+0.54948i	0.6572+0.55427i	0.64587+0.55907i	0.63455+0.56386i	0.62322+0.56866i	0.61156+0.57322i	0.59985+0.57776i
0.77379+0.5016i	0.76277+0.50661i	0.75175+0.51161i	0.74074+0.51661i	0.72972+0.52161i	0.7187+0.52662i	0.70747+0.53151i	0.69603+0.53628i	0.68458+0.54105i	0.67314+0.54582i	0.66169+0.55059i	0.65024+0.55536i	0.63845+0.55991i	0.62662+0.56442i
0.7953+0.48098i	0.78416+0.486i	0.77302+0.49101i	0.76188+0.49603i	0.75074+0.50105i	0.73959+0.50606i	0.72824+0.51097i	0.71666+0.51577i	0.70508+0.52056i	0.6935+0.52536i	0.68192+0.53015i	0.67034+0.53495i	0.6584+0.53953i	0.64642+0.54408i
0.80845+0.4555i	0.79717+0.46058i	0.7859+0.46567i	0.77463+0.47075i	0.76335+0.47583i	0.75208+0.48092i	0.74059+0.4859i	0.72887+0.49078i	0.71715+0.49565i	0.70543+0.50053i	0.69371+0.5054i	0.68199+0.51028i	0.66992+0.51496i	0.65779+0.5196i
0.81271+0.42812i	0.80131+0.43333i	0.78992+0.43854i	0.77852+0.44375i	0.76712+0.44896i	0.75573+0.45417i	0.74411+0.45929i	0.73226+0.46431i	0.72042+0.46932i	0.70857+0.47434i	0.69672+0.47936i	0.68487+0.48438i	0.67266+0.48921i	0.6604+0.49401i
0.8086+0.40155i	0.79711+0.40695i	0.78561+0.41235i	0.77412+0.41774i	0.76263+0.42314i	0.75113+0.42854i	0.73942+0.43385i	0.72747+0.43907i	0.71553+0.4443i	0.70358+0.44952i	0.69163+0.45474i	0.67969+0.45996i	0.66738+0.46501i	0.65502+0.47003i
0.79738+0.37791i	0.78584+0.38355i	0.77429+0.3892i	0.76274+0.39484i	0.7512+0.40048i	0.73965+0.40613i	0.72789+0.41169i	0.71589+0.41718i	0.7039+0.42266i	0.6919+0.42815i	0.67991+0.43363i	0.66791+0.43911i	0.65556+0.44444i	0.64315+0.44974i
0.78068+0.35857i	0.76914+0.36451i	0.75761+0.37045i	0.74608+0.37639i	0.73455+0.38233i	0.72302+0.38826i	0.71127+0.39413i	0.6993+0.39992i	0.68732+0.40572i	0.67535+0.41151i	0.66337+0.4173i	0.6514+0.42309i	0.63907+0.42874i	0.62669+0.43436i
0.76012+0.34424i	0.74869+0.3505i	0.73725+0.35676i	0.72582+0.36302i	0.71438+0.36929i	0.70295+0.37555i	0.6913+0.38175i	0.67944+0.38788i	0.66757+0.39401i	0.6557+0.40014i	0.64384+0.40627i	0.63197+0.4124i	0.61976+0.41839i	0.60749+0.42436i
0.73712+0.33509i	0.72587+0.34168i	0.71463+0.34828i	0.70339+0.35487i	0.69215+0.36146i	0.6809+0.36806i	0.66946+0.37459i	0.65779+0.38106i	0.64613+0.38753i	0.63447+0.39401i	0.62281+0.40048i	0.61114+0.40695i	0.59914+0.41329i	0.5871+0.41962i
0.71271+0.33109i	0.70176+0.338i	0.69081+0.3449i	0.67986+0.35181i	0.6689+0.35872i	0.65795+0.36562i	0.6468+0.37247i	0.63544+0.37927i	0.62409+0.38606i	0.61273+0.39285i	0.60137+0.39964i	0.59001+0.40643i	0.57832+0.4131i	0.56659+0.41975i
0.68769+0.33225i	0.67712+0.33942i	0.66655+0.34659i	0.65599+0.35377i	0.64542+0.36094i	0.63485+0.36811i	0.62409+0.37523i	0.61313+0.3823i	0.60217+0.38936i	0.59121+0.39642i	0.58025+0.40349i	0.56928+0.41055i	0.55801+0.41749i	0.54669+0.42442i
0.66275+0.33873i	0.65265+0.3461i	0.64254+0.35347i	0.63244+0.36085i	0.62233+0.36822i	0.61223+0.37559i	0.60194+0.38291i	0.59146+0.39017i	0.58097+0.39743i	0.57049+0.40469i	0.56001+0.41196i	0.54952+0.41922i	0.53874+0.42636i	0.52791+0.43349i
0.63877+0.3509i	0.62919+0.35839i	0.61961+0.36587i	0.61003+0.37335i	0.60045+0.38084i	0.59087+0.38832i	0.58111+0.39575i	0.57116+0.40312i	0.56122+0.41049i	0.55127+0.41786i	0.54133+0.42524i	0.53138+0.43261i	0.52114+0.43986i	0.51086+0.4471i
0.61698+0.36914i	0.60796+0.37664i	0.59894+0.38413i	0.58993+0.39163i	0.58091+0.39913i	0.57189+0.40662i	0.5627+0.41406i	0.55333+0.42145i	0.54396+0.42883i	0.53459+0.43621i	0.52522+0.44359i	0.51585+0.45098i	0.50619+0.45824i	0.49649+0.46548i
0.59908+0.39355i	0.59064+0.40096i	0.5822+0.40837i	0.57376+0.41578i	0.56532+0.42319i	0.55688+0.4306i	0.54828+0.43795i	0.53949+0.44524i	0.53071+0.45253i	0.52193+0.45982i	0.51314+0.46711i	0.50436+0.4744i	0.4953+0.48157i	0.4862+0.48871i
0.58714+0.42367i	0.57927+0.4309i	0.5714+0.43813i	0.56353+0.44535i	0.55566+0.45258i	0.54779+0.45981i	0.53976+0.46697i	0.53156+0.47407i	0.52336+0.48117i	0.51515+0.48827i	0.50695+0.49537i	0.49874+0.50247i	0.49027+0.50944i	0.48175+0.51639i
0.58329+0.45825i	0.57597+0.4652i	0.56865+0.47215i	0.56133+0.47911i	0.55401+0.48606i	0.54669+0.49302i	0.53921+0.49991i	0.53156+0.50673i	0.52391+0.51355i	0.51626+0.52037i	0.50861+0.52719i	0.50096+0.53401i	0.49304+0.54069i	0.48508+0.54735i
0.58938+0.49509i	0.58258+0.50169i	0.57577+0.50829i	0.56897+0.5149i	0.56216+0.5215i	0.55536+0.5281i	0.54839+0.53464i	0.54126+0.5411i	0.53413+0.54756i	0.52699+0.55402i	0.51986+0.56048i	0.51273+0.56694i	0.50532+0.57325i	0.49788+0.57954i
0.60655+0.53124i	0.60022+0.53742i	0.59389+0.5436i	0.58755+0.54978i	0.58122+0.55596i	0.57488+0.56214i	0.56839+0.56825i	0.56173+0.57428i	0.55506+0.58031i	0.5484+0.58634i	0.54174+0.59237i	0.53508+0.5984i	0.52814+0.60428i	0.52117+0.61014i
0.63485+0.56323i	0.62894+0.56893i	0.62303+0.57463i	0.61712+0.58032i	0.6112+0.58602i	0.60529+0.59172i	0.59922+0.59734i	0.59298+0.60288i	0.58673+0.60842i	0.58049+0.61396i	0.57425+0.6195i	0.568+0.62504i	0.56149+0.63043i	0.55493+0.63579i
0.67307+0.58762i	0.66753+0.59277i	0.66198+0.59793i	0.65644+0.60309i	0.65089+0.60824i	0.64535+0.6134i	0.63964+0.61848i	0.63376+0.62347i	0.62788+0.62847i	0.622+0.63347i	0.61612+0.63846i	0.61024+0.64346i	0.60408+0.6483i	0.59788+0.65312i
0.71877+0.60143i	0.71353+0.606i	0.70829+0.61056i	0.70306+0.61513i	0.69782+0.61969i	0.69258+0.62426i	0.68718+0.62874i	0.6816+0.63315i	0.67602+0.63755i	0.67044+0.64196i	0.66486+0.64636i	0.65928+0.65077i	0.65341+0.65502i	0.64751+0.65924i
0.76855+0.6027i	0.76355+0.60663i	0.75855+0.61056i	0.75355+0.61449i	0.74855+0.61841i	0.74355+0.62234i	0.73838+0.62619i	0.73303+0.62996i	0.72768+0.63373i	0.72233+0.6375i	0.71699+0.64127i	0.71164+0.64504i	0.706+0.64866i	0.70032+0.65226i
0.81849+0.59075i	0.81365+0.59401i	0.80881+0.59726i	0.80397+0.60052i	0.79913+0.60377i	0.79429+0.60702i	0.78928+0.6102i	0.78409+0.6133i	0.77889+0.61641i	0.7737+0.61951i	0.7685+0.62261i	0.76331+0.62571i	0.75781+0.62867i	0.75228+0.6316i
0.86475+0.56631i	0.85998+0.56887i	0.85521+0.57142i	0.85044+0.57397i	0.84567+0.57653i	0.8409+0.57908i	0.83596+0.58157i	0.83083+0.58398i	0.8257+0.58639i	0.82057+0.5888i	0.81544+0.59121i	0.81032+0.59362i	0.80488+0.59589i	0.79941+0.59815i
0.90403+0.53134i	0.89923+0.53319i	0.89443+0.53503i	0.88964+0.53688i	0.88484+0.53872i	0.88005+0.54057i	0.87508+0.54235i	0.86992+0.54406i	0.86476+0.54577i	0.85961+0.54748i	0.85445+0.54919i	0.84929+0.5509i	0.84383+0.55249i	0.83833+0.55406i
0.93401+0.48871i	0.92909+0.48985i	0.92417+0.491i	0.91924+0.49214i	0.91432+0.49329i	0.9094+0.49443i	0.9043+0.49552i	0.89902+0.49654i	0.89374+0.49757i	0.88846+0.49859i	0.88317+0.49962i	0.87789+0.50064i	0.87231+0.50155i	0.86668+0.50245i
0.95359+0.44166i	0.94844+0.44214i	0.94329+0.44262i	0.93815+0.4431i	0.933+0.44357i	0.92785+0.44405i	0.92253+0.44448i	0.91703+0.44485i	0.91153+0.44522i	0.90602+0.44559i	0.90052+0.44596i	0.89502+0.44633i	0.88922+0.4466i	0.88338+0.44686i
0.96281+0.3934i	0.95734+0.39327i	0.95188+0.39313i	0.94642+0.39299i	0.94096+0.39286i	0.93549+0.39272i	0.92986+0.39254i	0.92405+0.39231i	0.91824+0.39208i	0.91243+0.39185i	0.90662+0.39162i	0.90081+0.39138i	0.89471+0.39107i	0.88858+0.39074i
0.96266+0.3466i	0.9568+0.34592i	0.95095+0.34524i	0.9451+0.34457i	0.93924+0.34389i	0.93339+0.34321i	0.92737+0.34249i	0.92118+0.34173i	0.91499+0.34097i	0.90881+0.3402i	0.90262+0.33944i	0.89643+0.33868i	0.88997+0.33785i	0.88346+0.337i
0.95472+0.30321i	0.94841+0.30208i	0.94211+0.30094i	0.93581+0.2998i	0.92951+0.29867i	0.92321+0.29753i	0.91675+0.29636i	0.91013+0.29515i	0.90351+0.29394i	0.89689+0.29273i	0.89028+0.29151i	0.88366+0.2903i	0.87677+0.28903i	0.86986+0.28774i
0.94075+0.26441i	0.93397+0.26291i	0.92719+0.2614i	0.92041+0.2599i	0.91362+0.2584i	0.90684+0.25689i	0.89991+0.25535i	0.89283+0.25378i	0.88575+0.25221i	0.87866+0.25063i	0.87158+0.24906i	0.8645+0.24749i	0.85717+0.24585i	0.84981+0.24421i
0.92242+0.23072i	0.91515+0.22894i	0.90787+0.22716i	0.90059+0.22538i	0.89331+0.2236i	0.88604+0.22181i	0.87862+0.22i	0.87107+0.21815i	0.86351+0.2163i	0.85595+0.21445i	0.84839+0.2126i	0.84083+0.21075i	0.83305+0.20884i	0.82523+0.20692i
0.90107+0.20228i	0.8933+0.2003i	0.88553+0.19833i	0.87777+0.19635i	0.87+0.19438i	0.86223+0.1924i	0.85434+0.19039i	0.84631+0.18834i	0.83828+0.18629i	0.83025+0.18424i	0.82222+0.18219i	0.81419+0.18014i	0.80595+0.17803i	0.79769+0.17591i
0.87772+0.1791i	0.86948+0.17701i	0.86125+0.17491i	0.85301+0.17282i	0.84477+0.17072i	0.83653+0.16862i	0.82817+0.16649i	0.81969+0.16431i	0.8112+0.16213i	0.80272+0.15995i	0.79423+0.15777i	0.78575+0.15559i	0.77707+0.15334i	0.76837+0.15108i
0.85325+0.16129i	0.84456+0.15914i	0.83587+0.15698i	0.82719+0.15483i	0.8185+0.15267i	0.80982+0.15051i	0.80102+0.14831i	0.7921+0.14606i	0.78319+0.14381i	0.77427+0.14155i	0.76535+0.1393i	0.75644+0.13705i	0.74735+0.13472i	0.73823+0.13237i
0.82854+0.14909i	0.81944+0.14692i	0.81033+0.14476i	0.80123+0.14259i	0.79212+0.14043i	0.78302+0.13827i	0.77381+0.13605i	0.76448+0.13377i	0.75516+0.1315i	0.74584+0.12922i	0.73652+0.12694i	0.72719+0.12467i	0.7177+0.12229i	0.70819+0.11991i
0.80477+0.14277i	0.79528+0.14064i	0.78579+0.13852i	0.77629+0.13639i	0.7668+0.13427i	0.7573+0.13214i	0.74771+0.12995i	0.738+0.12769i	0.7283+0.12543i	0.71859+0.12317i	0.70888+0.12092i	0.69918+0.11866i	0.68932+0.11629i	0.67943+0.1139i
0.78351+0.14246i	0.77365+0.14041i	0.7638+0.13837i	0.75394+0.13632i	0.74409+0.13427i	0.73423+0.13222i	0.72428+0.1301i	0.71421+0.1279i	0.70415+0.1257i	0.69408+0.1235i	0.68402+0.1213i	0.67395+0.1191i	0.66374+0.11677i	0.65349+0.11442i
0.76666+0.14779i	0.75648+0.14586i	0.74629+0.14394i	0.7361+0.14201i	0.72592+0.14008i	0.71573+0.13815i	0.70544+0.13614i	0.69504+0.13404i	0.68464+0.13194i	0.67425+0.12984i	0.66385+0.12773i	0.65345+0.12563i	0.64289+0.12338i	0.63232+0.12111i
0.75631+0.15767i	0.74582+0.1559i	0.73534+0.15413i	0.72485+0.15237i	0.71437+0.1506i	0.70389+0.14883i	0.6933+0.14697i	0.68259+0.14501i	0.67189+0.14305i	0.66118+0.14109i	0.65048+0.13912i	0.63977+0.13716i	0.62891+0.13503i	0.61801+0.13288i
0.7543+0.17011i	0.74356+0.16854i	0.73282+0.16698i	0.72208+0.16541i	0.71134+0.16384i	0.7006+0.16228i	0.68975+0.16061i	0.67877+0.15883i	0.6678+0.15705i	0.65683+0.15527i	0.64585+0.15349i	0.63488+0.15171i	0.62373+0.14974i	0.61255+0.14775i
0.7619+0.1823i	0.75095+0.18097i	0.74001+0.17964i	0.72906+0.17831i	0.71812+0.17698i	0.70717+0.17565i	0.6961+0.17421i	0.6849+0.17265i	0.67371+0.1711i	0.66251+0.16954i	0.65131+0.16798i	0.64011+0.16642i	0.62872+0.16466i	0.6173+0.16287i
0.77933+0.19086i	0.76824+0.18979i	0.75715+0.18872i	0.74606+0.18766i	0.73497+0.18659i	0.72388+0.18553i	0.71265+0.18434i	0.70129+0.18304i	0.68992+0.18173i	0.67855+0.18042i	0.66718+0.17912i	0.65582+0.17781i	0.64424+0.17629i	0.63263+0.17475i
0.80558+0.19222i	0.79441+0.19143i	0.78325+0.19064i	0.77208+0.18986i	0.76091+0.18907i	0.74974+0.18828i	0.73843+0.18737i	0.72695+0.18634i	0.71548+0.18531i	0.70401+0.18427i	0.69254+0.18324i	0.68106+0.18221i	0.66935+0.18096i	0.65761+0.17968i
0.83833+0.18322i	0.82716+0.1827i	0.81598+0.18219i	0.8048+0.18168i	0.79363+0.18117i	0.78245+0.18066i	0.77112+0.18003i	0.75961+0.17928i	0.7481+0.17852i	0.73659+0.17777i	0.72508+0.17701i	0.71357+0.17626i	0.70179+0.17529i	0.68998+0.17429i
0.87415+0.16155i	0.86303+0.1613i	0.85191+0.16105i	0.8408+0.16079i	0.82968+0.16054i	0.81857+0.16029i	0.80728+0.15992i	0.7958+0.15944i	0.78431+0.15895i	0.77283+0.15846i	0.76135+0.15797i	0.74987+0.15749i	0.7381+0.15679i	0.72629+0.15606i
0.90889+0.1262i	0.89789+0.12617i	0.8869+0.12615i	0.8759+0.12612i	0.86491+0.12609i	0.85391+0.12607i	0.84272+0.12593i	0.83133+0.12569i	0.81994+0.12544i	0.80855+0.12519i	0.79716+0.12494i	0.78577+0.1247i	0.77406+0.12425i	0.76231+0.12378i
0.93826+0.077614i	0.92743+0.077766i	0.9166+0.077918i	0.90577+0.07807i	0.89494+0.078222i	0.88411+0.078374i	0.87307+0.078431i	0.86182+0.078387i	0.85057+0.078343i	0.83932+0.078298i	0.82807+0.078254i	0.81681+0.078209i	0.80522+0.077988i	0.79358+0.077743i
0.95836+0.01763i	0.94773+0.01791i	0.93709+0.01819i	0.92646+0.01847i	0.91582+0.018749i	0.90518+0.019029i	0.89433+0.019228i	0.88326+0.019341i	0.87218+0.019454i	0.8611+0.019567i	0.85002+0.019681i	0.83894+0.019794i	0.8275+0.019756i	0.81601+0.019697i
0.96616-0.050785i	0.95573-0.05043i	0.94531-0.050074i	0.93488-0.049718i	0.92445-0.049363i	0.91403-0.049007i	0.90338-0.048715i	0.89249-0.048491i	0.88161-0.048266i	0.87072-0.048042i	0.85984-0.047818i	0.84895-0.047593i	0.83769-0.047489i	0.82637-0.047401i
0.9598-0.124i	0.94958-0.12361i	0.93937-0.12323i	0.92915-0.12284i	0.91893-0.12246i	0.90872-0.12207i	0.89828-0.12173i	0.88759-0.12144i	0.87691-0.12115i	0.86622-0.12085i	0.85554-0.12056i	0.84485-0.12027i	0.83378-0.12006i	0.82266-0.11986i
0.93869-0.19821i	0.92867-0.19784i	0.91866-0.19746i	0.90864-0.19708i	0.89863-0.19671i	0.88861-0.19633i	0.87837-0.19598i	0.86788-0.19565i	0.8574-0.19532i	0.84692-0.195i	0.83643-0.19467i	0.82595-0.19434i	0.81507-0.19407i	0.80415-0.19379i
0.90334-0.26992i	0.89351-0.26958i	0.88368-0.26924i	0.87385-0.2689i	0.86402-0.26856i	0.8542-0.26822i	0.84415-0.26788i	0.83386-0.26755i	0.82357-0.26722i	0.81328-0.26688i	0.80299-0.26655i	0.7927-0.26622i	0.78203-0.2659i	0.77131-0.26558i
0.85505-0.33621i	0.8454-0.33593i	0.83575-0.33565i	0.8261-0.33536i	0.81644-0.33508i	0.80679-0.33479i	0.79692-0.33449i	0.78682-0.33418i	0.77673-0.33386i	0.76663-0.33354i	0.75653-0.33323i	0.74643-0.33291i	0.73596-0.33257i	0.72545-0.33222i
0.79559-0.39493i	0.7861-0.39472i	0.77661-0.39451i	0.76713-0.39429i	0.75764-0.39408i	0.74815-0.39386i	0.73846-0.39362i	0.72855-0.39333i	0.71864-0.39305i	0.70873-0.39276i	0.69882-0.39248i	0.68891-0.3922i	0.67866-0.39185i	0.66835-0.3915i
0.72677-0.44458i	0.71744-0.44445i	0.70812-0.44432i	0.69879-0.44418i	0.68946-0.44405i	0.68013-0.44392i	0.67061-0.44374i	0.66089-0.44351i	0.65117-0.44327i	0.64145-0.44304i	0.63173-0.44281i	0.62202-0.44257i	0.61197-0.44225i	0.60189-0.44192i
0.6503-0.48411i	0.64112-0.48408i	0.63195-0.48404i	0.62278-0.48401i	0.61361-0.48397i	0.60443-0.48394i	0.59509-0.48384i	0.58556-0.48368i	0.57603-0.48351i	0.56651-0.48335i	0.55698-0.48319i	0.54745-0.48302i	0.53763-0.48275i	0.52777-0.48246i
0.56765-0.5127i	0.55863-0.51278i	0.54961-0.51286i	0.54059-0.51294i	0.53157-0.51302i	0.52255-0.51309i	0.51337-0.5131i	0.50404-0.51303i	0.4947-0.51297i	0.48537-0.5129i	0.47603-0.51283i	0.46669-0.51276i	0.4571-0.51257i	0.44747-0.51235i
0.48021-0.5295i	0.47133-0.52971i	0.46246-0.52993i	0.45358-0.53014i	0.44471-0.53035i	0.43583-0.53057i	0.42682-0.5307i	0.41767-0.53076i	0.40853-0.53081i	0.39938-0.53087i	0.39023-0.53093i	0.38108-0.53098i	0.37171-0.5309i	0.36231-0.53079i
0.38946-0.53355i	0.38072-0.53392i	0.37197-0.53429i	0.36323-0.53466i	0.35449-0.53503i	0.34574-0.5354i	0.33689-0.53569i	0.32791-0.5359i	0.31894-0.53611i	0.30996-0.53631i	0.30099-0.53652i	0.29201-0.53673i	0.28286-0.5368i	0.27367-0.53684i
0.29724-0.52384i	0.28861-0.52438i	0.27998-0.52493i	0.27134-0.52547i	0.26271-0.52602i	0.25407-0.52656i	0.24535-0.52703i	0.23652-0.52742i	0.2277-0.52781i	0.21888-0.52819i	0.21006-0.52858i	0.20123-0.52897i	0.19227-0.52922i	0.18328-0.52944i
